"Nikto - v2.5.0/"
"192.168.100.129","192.168.100.129","80","","","","Apache/2.2.8 (Ubuntu) DAV/2"
"192.168.100.129","192.168.100.129","80","","GET","/","Retrieved x-powered-by header: PHP/5.2.4-2ubuntu5.10."
"192.168.100.129","192.168.100.129","80","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"192.168.100.129","192.168.100.129","80","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"192.168.100.129","192.168.100.129","80","","GET","/index","Uncommon header 'tcn' found, with contents: list."
"192.168.100.129","192.168.100.129","80","http://www.wisec.it/sectou.php?id=4698ebdc59d15,https://exchange.xforce.ibmcloud.com/vulnerabilities/8275","GET","/index","Apache mod_negotiation is enabled with MultiViews, which allows attackers to easily brute force file names. The following alternatives for 'index' were found: index.php."
"192.168.100.129","192.168.100.129","80","","HEAD","/","Apache/2.2.8 appears to be outdated (current is at least Apache/2.4.54). Apache 2.2.34 is the EOL for the 2.x branch."
"192.168.100.129","192.168.100.129","80","","AAXQXIFL","/","Web Server returns a valid response with junk HTTP methods which may cause false positives."
"192.168.100.129","192.168.100.129","80","https://owasp.org/www-community/attacks/Cross_Site_Tracing","TRACE","/","HTTP TRACE method is active which suggests the host is vulnerable to XST."
"192.168.100.129","192.168.100.129","80","","GET","/phpinfo.php?VARIABLE=<script>alert('Vulnerable')</script>","/phpinfo.php: Output from the phpinfo() function was found."
"192.168.100.129","192.168.100.129","80","","GET","/doc/","Directory indexing found."
"192.168.100.129","192.168.100.129","80","CVE-1999-0678","GET","/doc/","The /doc/ directory is browsable. This may be /usr/doc."
"192.168.100.129","192.168.100.129","80","OSVDB-12184","GET","/?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000","PHP reveals potentially sensitive information via certain HTTP requests that contain specific QUERY strings."
"192.168.100.129","192.168.100.129","80","OSVDB-12184","GET","/?=PHPE9568F36-D428-11d2-A769-00AA001ACF42","PHP reveals potentially sensitive information via certain HTTP requests that contain specific QUERY strings."
"192.168.100.129","192.168.100.129","80","OSVDB-12184","GET","/?=PHPE9568F34-D428-11d2-A769-00AA001ACF42","PHP reveals potentially sensitive information via certain HTTP requests that contain specific QUERY strings."
"192.168.100.129","192.168.100.129","80","OSVDB-12184","GET","/?=PHPE9568F35-D428-11d2-A769-00AA001ACF42","PHP reveals potentially sensitive information via certain HTTP requests that contain specific QUERY strings."
"192.168.100.129","192.168.100.129","80","","GET","/phpMyAdmin/changelog.php","phpMyAdmin is for managing MySQL databases, and should be protected or limited to authorized hosts."
"192.168.100.129","192.168.100.129","80","CVE-2003-1418","GET","/phpMyAdmin/ChangeLog","Server may leak inodes via ETags, header found with file /phpMyAdmin/ChangeLog, inode: 92462, size: 40540, mtime: Tue Dec  9 12:24:00 2008."
"192.168.100.129","192.168.100.129","80","","GET","/phpMyAdmin/ChangeLog","phpMyAdmin is for managing MySQL databases, and should be protected or limited to authorized hosts."
"192.168.100.129","192.168.100.129","80","","GET","/test/","Directory indexing found."
"192.168.100.129","192.168.100.129","80","","GET","/test/","This might be interesting."
"192.168.100.129","192.168.100.129","80","CWE-552","GET","/phpinfo.php","PHP is installed, and a test script which runs phpinfo() was found. This gives a lot of system information."
"192.168.100.129","192.168.100.129","80","","GET","/icons/","Directory indexing found."
"192.168.100.129","192.168.100.129","80","https://www.vntweb.co.uk/apache-restricting-access-to-iconsreadme/","GET","/icons/README","Apache default file found."
"192.168.100.129","192.168.100.129","80","","GET","/phpMyAdmin/","phpMyAdmin directory found."
"192.168.100.129","192.168.100.129","80","","GET","/phpMyAdmin/Documentation.html","phpMyAdmin is for managing MySQL databases, and should be protected or limited to authorized hosts."
"192.168.100.129","192.168.100.129","80","https://typo3.org/","GET","/phpMyAdmin/README","phpMyAdmin is for managing MySQL databases, and should be protected or limited to authorized hosts."
"192.168.100.129","192.168.100.129","80","","GET","/#wp-config.php#","#wp-config.php# file found. This file contains the credentials."
